scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,evidence_strength
B4_regime_concentration__evidence5000__seed280000,B4.REGIME_POSTERIOR_CONCENTRATION,B,280000,capopm_stage1_only,0.0,0.3998377079556252,3,0.3785962625793553,0.3333333333333333,50.0
B4_regime_concentration__evidence5000__seed280000,B4.REGIME_POSTERIOR_CONCENTRATION,B,280000,capopm_stage1_only,0.3998377079556252,0.4315142934221241,3,0.4089863404635626,0.6666666666666666,50.0
B4_regime_concentration__evidence5000__seed280000,B4.REGIME_POSTERIOR_CONCENTRATION,B,280000,capopm_stage1_only,0.4315142934221241,0.4609310424704092,3,0.4492026991958575,1.0,50.0
B4_regime_concentration__evidence5000__seed280000,B4.REGIME_POSTERIOR_CONCENTRATION,B,280000,capopm_stage1_only,0.4609310424704092,0.5040848114255101,3,0.4819232259297337,0.3333333333333333,50.0
B4_regime_concentration__evidence5000__seed280000,B4.REGIME_POSTERIOR_CONCENTRATION,B,280000,capopm_stage1_only,0.5040848114255101,0.5230641350666664,3,0.5124841192132318,0.0,50.0
B4_regime_concentration__evidence5000__seed280000,B4.REGIME_POSTERIOR_CONCENTRATION,B,280000,capopm_stage1_only,0.5230641350666664,0.544213809431795,3,0.5360859091023998,0.3333333333333333,50.0
B4_regime_concentration__evidence5000__seed280000,B4.REGIME_POSTERIOR_CONCENTRATION,B,280000,capopm_stage1_only,0.544213809431795,0.5535944190501201,3,0.549098067783546,1.0,50.0
B4_regime_concentration__evidence5000__seed280000,B4.REGIME_POSTERIOR_CONCENTRATION,B,280000,capopm_stage1_only,0.5535944190501201,0.5698574314885896,3,0.5640353213129644,0.6666666666666666,50.0
B4_regime_concentration__evidence5000__seed280000,B4.REGIME_POSTERIOR_CONCENTRATION,B,280000,capopm_stage1_only,0.5698574314885896,0.5867005479021083,3,0.582201043618436,0.3333333333333333,50.0
B4_regime_concentration__evidence5000__seed280000,B4.REGIME_POSTERIOR_CONCENTRATION,B,280000,capopm_stage1_only,0.5867005479021083,1.0,3,0.6310361186668346,0.3333333333333333,50.0
