scenario_name,experiment_id,tier,model,seed,n_total_level,n_steps,arrivals_per_step,n_effective,brier,log_score,mae_prob,abs_error_outcome,calibration_ece,posterior_mean_bias,posterior_variance_ratio,posterior_variance,log_variance,coverage_90_ptrue,coverage_95_ptrue,p_hat,rate_var_vs_n,rate_bias_vs_n,r2_var,r2_bias
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,-1,-1,-1,-1,249.81950136082915,0.010663224856088938,-0.7007817291038466,0.09024727550444037,0.4945003710248434,0.13223073392355408,-0.040845875692735595,1.0289999802783294,0.001389145845990722,-6.788920102975739,0.31666666666666665,0.43333333333333335,0.5091541243072644,-0.934001200823,-0.27625903429987164,1.0,1.0
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm_stage1_only,-1,-1,-1,-1,249.81950136082915,0.010672992463375185,-0.7007001800483822,0.09027584722150873,0.49445670451445095,0.13219659713598475,-0.04090506451785426,1.028976034770218,0.0013891066901491674,-6.788936546291217,0.31666666666666665,0.43333333333333335,0.5090949354821458,-0.9339817815172926,-0.27652888499681216,1.0,1.0
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,raw_parimutuel,-1,-1,-1,-1,250.0,0.012186902928226714,-0.7052927257328334,0.09545324846356454,0.495589186420837,0.12533984489318117,-0.045663520632133504,nan,nan,nan,nan,nan,0.5043364793678664,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,uncorrected,-1,-1,-1,-1,250.0,0.010621754240299134,-0.7015985244282379,0.0902439437114238,0.4948632974450909,0.12802044521272862,-0.0401487496750816,1.0,0.0013462546212997487,-6.8058483706288495,0.31666666666666665,0.45,0.5098512503249185,-0.9331101636571094,-0.2902007920232946,1.0,1.0
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,91114708,100,20,5,111.14390529842737,1.8131797945459973e-06,-0.5953917316871479,0.0013465436474715542,0.4486534563525284,0.13223073392355408,0.0013465436474715542,0.9120550334691482,0.001973478741279987,-6.227957435009594,1.0,1.0,0.5513465436474716,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,415597801,100,20,5,83.9664142877628,0.020391128405059203,-0.5229024081141223,0.1427975083993387,0.40720249160066135,0.13223073392355408,-0.1427975083993387,1.1589542973912492,0.0024589736131878414,-6.008011246514139,0.0,0.0,0.40720249160066135,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,483915498,100,20,5,82.2857189108755,0.010052742101944566,-0.5973582722598302,0.10026336370751066,0.4497366362924894,0.13223073392355408,-0.10026336370751066,1.1843756556506035,0.0025648727818196543,-5.965846399320541,0.0,1.0,0.4497366362924894,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,564034805,100,20,5,85.06671641703562,0.02001813030347737,-0.8952277276661308,0.14148544201958507,0.591485442019585,0.13223073392355408,-0.14148544201958507,1.1471756820340144,0.0024341533861496185,-6.018156268263652,0.0,0.0,0.40851455798041497,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,683784317,100,20,5,117.76549879718917,0.004230477031296537,-0.9546213464312344,0.06504211736480092,0.615042117364801,0.13223073392355408,0.06504211736480092,0.8660875257212803,0.0017941455409954958,-6.323226392105735,1.0,1.0,0.615042117364801,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,757426227,100,20,5,78.68214252423701,0.02488722878095688,-0.935873391752348,0.1577568660342772,0.6077568660342771,0.13223073392355408,-0.1577568660342772,1.2268857265629527,0.002566569324779141,-5.96518516492052,0.0,0.0,0.39224313396572286,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,833147946,100,20,5,84.84594403707321,0.010774294190435376,-0.5909529365028284,0.10379929763941265,0.4462007023605874,0.13223073392355408,-0.10379929763941265,1.1520169418376816,0.0024948587039668527,-5.993523183058901,0.0,0.0,0.4462007023605874,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,996438087,100,20,5,119.40560300443573,0.004167547354514433,-0.48685433817168466,0.06455654385509213,0.3854434561449078,0.13223073392355408,0.06455654385509213,0.8555902190196008,0.0017729555717218828,-6.335107310454519,1.0,1.0,0.6145565438550922,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,1306581510,100,20,5,86.39566253170038,0.004202381714278881,-0.6639267273881764,0.06482577970436515,0.4851742202956349,0.13223073392355408,-0.06482577970436515,1.1355130287326407,0.00248301159284522,-5.998283103580491,1.0,1.0,0.4851742202956349,nan,nan,nan,nan
B2_asymptotic_rate__seed260000,B2.ASYMPTOTIC_RATE_CHECK,B,capopm,1350249099,100,20,5,99.60137763928614,0.01125034568879433,-0.8120830857207214,0.10606764675806818,0.5560676467580681,0.13223073392355408,-0.10606764675806818,1.0057352237693198,0.0021691865608997126,-6.133403038434358,0.0,0.0,0.44393235324193187,nan,nan,nan,nan
