scenario_name,model,bin_low,bin_high,count,mean_pred,mean_outcome
smoke_metrics_phase7,capopm,0.0,0.39433066580860576,20,0.35629654225753915,0.65
smoke_metrics_phase7,capopm,0.39433066580860576,0.42240750196757837,20,0.4046362787162039,0.7
smoke_metrics_phase7,capopm,0.42240750196757837,0.449866453899177,20,0.4412799629997748,0.4
smoke_metrics_phase7,capopm,0.449866453899177,0.476323799257627,20,0.4731989205332049,0.5
smoke_metrics_phase7,capopm,0.476323799257627,0.502900485390938,20,0.4934241719939195,0.4
smoke_metrics_phase7,capopm,0.502900485390938,0.5298078301278935,20,0.5190519310240178,0.35
smoke_metrics_phase7,capopm,0.5298078301278935,0.556610677371656,20,0.5431373976067254,0.55
smoke_metrics_phase7,capopm,0.556610677371656,0.583574412505179,20,0.5713794923513731,0.8
smoke_metrics_phase7,capopm,0.583574412505179,0.6107862929653465,20,0.6010041739498322,0.6
smoke_metrics_phase7,capopm,0.6107862929653465,1.0,20,0.6493446789239602,0.5
