scenario_name,model,bin_low,bin_high,count,mean_pred,mean_outcome
smoke_metrics_phase7,ml_only,0.0,0.3560285810364545,20,0.30312574366842593,0.6
smoke_metrics_phase7,ml_only,0.3560285810364545,0.39346508778717126,20,0.3692340686937294,0.7
smoke_metrics_phase7,ml_only,0.39346508778717126,0.430702596515973,20,0.41914258434664076,0.5
smoke_metrics_phase7,ml_only,0.430702596515973,0.467063081953267,20,0.4628567362968389,0.4
smoke_metrics_phase7,ml_only,0.467063081953267,0.5034106684509172,20,0.49053977836097606,0.4
smoke_metrics_phase7,ml_only,0.5034106684509172,0.5402441470969958,20,0.5254558710913189,0.4
smoke_metrics_phase7,ml_only,0.5402441470969958,0.5772677100464868,20,0.5586862301501581,0.7
smoke_metrics_phase7,ml_only,0.5772677100464868,0.6139016764676383,20,0.5974568038869408,0.6
smoke_metrics_phase7,ml_only,0.6139016764676383,0.6509461138310141,20,0.6377840092204646,0.6
smoke_metrics_phase7,ml_only,0.6509461138310141,1.0,20,0.7037833756683621,0.55
