scenario_name,model,bin_low,bin_high,count,mean_pred,mean_outcome
smoke_metrics_phase7,structural_only,0.0,0.3826470584313732,19,0.3377554175645001,0.631578947368421
smoke_metrics_phase7,structural_only,0.3826470584313732,0.41205882313725556,14,0.3826470584313731,0.7142857142857143
smoke_metrics_phase7,structural_only,0.41205882313725556,0.4414705878431379,13,0.41205882313725556,0.5384615384615384
smoke_metrics_phase7,structural_only,0.4414705878431379,0.4708823525490202,16,0.44147058784313775,0.4375
smoke_metrics_phase7,structural_only,0.4708823525490202,0.5002941172549026,25,0.4708823525490205,0.48
smoke_metrics_phase7,structural_only,0.5002941172549026,0.5297058819607849,21,0.5002941172549027,0.3333333333333333
smoke_metrics_phase7,structural_only,0.5297058819607849,0.5591176466666673,22,0.529705881960785,0.5
smoke_metrics_phase7,structural_only,0.5591176466666673,0.5885294113725497,19,0.5591176466666673,0.6842105263157895
smoke_metrics_phase7,structural_only,0.5885294113725497,0.617941176078432,18,0.5885294113725497,0.5555555555555556
smoke_metrics_phase7,structural_only,0.617941176078432,1.0,33,0.6437878783957225,0.6060606060606061
