scenario_name,model,bin_low,bin_high,count,mean_pred,mean_outcome
smoke_metrics_phase7,raw_parimutuel,0.0,0.3426923076923077,19,0.2845748987854251,0.631578947368421
smoke_metrics_phase7,raw_parimutuel,0.3426923076923077,0.3807692307692308,14,0.3426923076923077,0.7142857142857143
smoke_metrics_phase7,raw_parimutuel,0.3807692307692308,0.4188461538461538,13,0.38076923076923086,0.5384615384615384
smoke_metrics_phase7,raw_parimutuel,0.4188461538461538,0.45692307692307693,16,0.4188461538461538,0.4375
smoke_metrics_phase7,raw_parimutuel,0.45692307692307693,0.495,25,0.45692307692307693,0.48
smoke_metrics_phase7,raw_parimutuel,0.495,0.533076923076923,21,0.4949999999999999,0.3333333333333333
smoke_metrics_phase7,raw_parimutuel,0.533076923076923,0.5711538461538461,22,0.5330769230769229,0.5
smoke_metrics_phase7,raw_parimutuel,0.5711538461538461,0.6092307692307692,19,0.5711538461538462,0.6842105263157895
smoke_metrics_phase7,raw_parimutuel,0.6092307692307692,0.6473076923076924,18,0.6092307692307694,0.5555555555555556
smoke_metrics_phase7,raw_parimutuel,0.6473076923076924,1.0,33,0.6807692307692308,0.6060606060606061
