series_ticker,event_ticker,market_ticker,created_time,expiration_time,snapshot_time,yes_prices,yes_sizes,no_prices,no_sizes,yes_dollars,no_dollars,yes_contracts,no_contracts
KXINXY,KXINXY-25DEC31,KXINXY-25DEC31-B7500,2024-11-05T14:41:06.87561Z,2026-01-07T18:00:00Z,2025-12-04T20:26:36.726360Z,[1],[14892],"[1, 3, 5, 9, 16, 26, 33, 40, 44, 50, 57, 73, 80, 82, 84, 86, 90, 94, 96, 97, 98]","[1849000, 100, 292867, 46333, 92407, 5935, 3035, 1000, 1263, 15, 245, 1, 10, 2000, 10, 10, 2000, 4000, 100571, 200, 20017]",,,,
KXINXY,KXINXY-25DEC31,KXINXY-25DEC31-B7300,2024-11-05T14:41:06.87561Z,2026-01-07T18:00:00Z,2025-12-04T20:26:37.150884Z,"[1, 2, 3, 4]","[11646, 104100, 385, 178]","[1, 3, 5, 8, 14, 23, 29, 35, 38, 40, 41, 49, 63, 70, 80, 81, 84, 88, 90, 91, 92, 93, 94]","[1849000, 100, 213000, 80333, 52575, 8577, 4072, 1500, 1911, 8, 56, 346, 1, 2, 450, 11, 660, 60, 4100, 354, 61, 100000, 4230]",,,,
KXINXY,KXINXY-25DEC31,KXINXY-25DEC31-B7100,2024-11-05T14:41:06.87561Z,2026-01-07T18:00:00Z,2025-12-04T20:26:37.861335Z,"[1, 2, 4, 15, 19, 21, 24, 25, 26, 27, 28]","[12245, 1549, 428, 20, 648, 152, 104000, 128, 190, 200, 4131]","[1, 3, 4, 7, 12, 19, 23, 28, 34, 40, 42, 50, 52, 53, 55, 57, 58, 61, 62, 63, 64, 65, 66, 67, 68, 70, 71]","[1849000, 100, 106500, 53020, 39156, 3689, 3017, 2086, 114, 101, 1, 29, 200, 33, 278, 434, 113, 507, 200, 143, 4070, 111, 284, 171, 4268, 65, 100005]",,,,
KXINXY,KXINXY-25DEC31,KXINXY-25DEC31-B6900,2024-11-05T14:41:06.87561Z,2026-01-07T18:00:00Z,2025-12-04T20:26:40.303525Z,"[1, 4, 5, 6, 10, 11, 14, 15, 16, 19, 21, 22, 25, 26, 27, 31, 34, 35, 36, 37, 38]","[78200, 225, 300, 757, 221, 65, 24, 102, 774, 640, 400, 600, 35, 400, 116, 145, 4000, 235, 100248, 14, 4439]","[1, 3, 5, 8, 10, 15, 20, 25, 26, 30, 32, 36, 40, 41, 52, 54, 55, 56, 57, 58, 59, 60]","[1242500, 100, 79875, 74929, 325, 6700, 1598, 133, 681, 2, 1, 500, 20, 466, 120, 4403, 898, 500, 668, 4032, 100119, 21]",,,,
KXINXY,KXINXY-25DEC31,KXINXY-25DEC31-B6700,2024-11-05T14:41:06.87561Z,2026-01-07T18:00:00Z,2025-12-04T20:26:42.772070Z,"[1, 2, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16]","[10800, 908, 400, 800, 130, 10, 10, 4416, 140, 20, 4000, 100142]","[1, 3, 4, 7, 12, 19, 20, 23, 28, 34, 42, 60, 61, 62, 63, 66, 67, 70, 71, 75, 76, 77, 78, 79, 80, 81, 82]","[1782200, 100, 106500, 53020, 39156, 3689, 94, 3017, 2086, 114, 1, 100, 200, 135, 300, 300, 5000, 45, 80, 1530, 17, 4152, 1002, 100201, 12, 4054, 1744]",,,,
KXINXY,KXINXY-25DEC31,KXINXY-25DEC31-B6500,2024-11-05T14:41:06.87561Z,2026-01-07T18:00:00Z,2025-12-04T20:26:44.876354Z,"[1, 2, 3, 4]","[1948, 2500, 2551, 107494]","[1, 3, 4, 6, 10, 16, 26, 31, 32, 37, 45, 53, 63, 66, 67, 68, 71, 74, 82, 83, 87, 88, 91, 92, 93, 94, 95]","[1849000, 100, 213000, 46867, 67944, 26694, 2386, 1688, 4000, 1911, 300, 45, 1, 25, 23, 29, 210, 265, 1000, 17, 200, 4000, 100001, 4054, 263, 121, 2963]",,,,
KXINXY,KXINXY-25DEC31,KXINXY-25DEC31-B6300,2024-11-05T14:41:06.87561Z,2026-01-07T18:00:00Z,2025-12-04T20:26:46.699866Z,"[1, 2]","[3737, 100070]","[1, 3, 5, 9, 16, 26, 33, 35, 36, 40, 44, 50, 57, 61, 71, 72, 73, 74, 75, 77, 78, 80, 81, 82, 84, 87, 88, 90, 92, 93, 94, 95, 96, 97]","[1849000, 100, 292867, 46443, 80992, 5935, 3035, 4000, 1, 25, 1263, 25, 445, 200, 119, 2118, 1, 200, 25, 300, 19, 130, 95, 285, 678, 2800, 2500, 1000, 5150, 2500, 101652, 553, 4008, 3657]",,,,
KXINXY,KXINXY-25DEC31,KXINXY-25DEC31-B6100,2024-11-05T14:41:06.87561Z,2026-01-07T18:00:00Z,2025-12-04T20:26:47.897815Z,[1],[2144],"[1, 3, 5, 9, 16, 23, 26, 33, 44, 55, 57, 64, 67, 69, 70, 71, 73, 75, 76, 77, 78, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 91, 93, 94, 95, 96, 97, 98]","[1849000, 100, 292867, 46333, 80992, 5000, 5935, 3035, 1263, 200, 245, 70, 146, 20, 27, 300, 1, 2347, 300, 400, 2, 1021, 207, 303, 284, 1687, 1201, 51, 501, 134, 100, 2333, 4500, 1503, 3, 105503, 8540, 10037]",,,,
