scenario_name,model,bin_low,bin_high,count,mean_pred,mean_outcome
mini_regression,capopm,0.0,0.4039836972907372,1,0.3673503030494081,0.0
mini_regression,capopm,0.4039836972907372,0.4406170915320663,0,0.0,0.0
mini_regression,capopm,0.4406170915320663,0.48580811487396103,1,0.4589337886527309,1.0
mini_regression,capopm,0.48580811487396103,0.5395567673164212,0,0.0,0.0
mini_regression,capopm,0.5395567673164212,0.5933054197588814,0,0.0,0.0
mini_regression,capopm,0.5933054197588814,0.5934318394632696,1,0.5933054197588814,1.0
mini_regression,capopm,0.5934318394632696,0.5935582591676578,0,0.0,0.0
mini_regression,capopm,0.5935582591676578,0.5939456789385889,1,0.5936214690198519,0.0
mini_regression,capopm,0.5939456789385889,0.5945940987760628,0,0.0,0.0
mini_regression,capopm,0.5945940987760628,1.0,1,0.5952425186135368,0.0
