scenario_name,model,bin_low,bin_high,count,mean_pred,mean_outcome
mini_regression,structural_only,0.0,0.3903999994666675,1,0.3503999994666675,0.0
mini_regression,structural_only,0.3903999994666675,0.4303999994666675,0,0.0,0.0
mini_regression,structural_only,0.4303999994666675,0.4803999994666675,1,0.4503999994666675,1.0
mini_regression,structural_only,0.4803999994666675,0.5403999994666675,0,0.0,0.0
mini_regression,structural_only,0.5403999994666675,0.6003999994666674,0,0.0,0.0
mini_regression,structural_only,0.6003999994666674,0.6003999994666674,0,0.0,0.0
mini_regression,structural_only,0.6003999994666674,0.6003999994666674,0,0.0,0.0
mini_regression,structural_only,0.6003999994666674,0.6003999994666674,0,0.0,0.0
mini_regression,structural_only,0.6003999994666674,0.6003999994666674,0,0.0,0.0
mini_regression,structural_only,0.6003999994666674,1.0,3,0.6003999994666674,0.3333333333333333
