scenario_name,model,bin_low,bin_high,count,mean_pred,mean_outcome
mini_regression,uncorrected,0.0,0.40613149411546656,1,0.3712140668840049,0.0
mini_regression,uncorrected,0.40613149411546656,0.4410489213469283,0,0.0,0.0
mini_regression,uncorrected,0.4410489213469283,0.48524978429988497,1,0.4585076349626591,1.0
mini_regression,uncorrected,0.48524978429988497,0.5387340829743367,0,0.0,0.0
mini_regression,uncorrected,0.5387340829743367,0.5922183816487884,0,0.0,0.0
mini_regression,uncorrected,0.5922183816487884,0.5923040570356243,1,0.5922183816487884,0.0
mini_regression,uncorrected,0.5923040570356243,0.5923897324224603,0,0.0,0.0
mini_regression,uncorrected,0.5923897324224603,0.5927160929814127,1,0.5924325701158782,0.0
mini_regression,uncorrected,0.5927160929814127,0.5932831387124817,0,0.0,0.0
mini_regression,uncorrected,0.5932831387124817,1.0,1,0.5938501844435506,1.0
