scenario_name,model,bin_low,bin_high,count,mean_pred,mean_outcome
mini_regression,ml_only,0.0,0.3511023374669634,1,0.2954235581602587,0.0
mini_regression,ml_only,0.3511023374669634,0.406781116773668,0,0.0,0.0
mini_regression,ml_only,0.406781116773668,0.47631298113681597,1,0.4346205064270203,1.0
mini_regression,ml_only,0.47631298113681597,0.5596979305564073,0,0.0,0.0
mini_regression,ml_only,0.5596979305564073,0.6430828799759984,0,0.0,0.0
mini_regression,ml_only,0.6430828799759984,0.6435636646334703,1,0.6430828799759984,1.0
mini_regression,ml_only,0.6435636646334703,0.6440444492909421,0,0.0,0.0
mini_regression,ml_only,0.6440444492909421,0.6446504524599562,1,0.644284841619678,0.0
mini_regression,ml_only,0.6446504524599562,0.6453816741405126,0,0.0,0.0
mini_regression,ml_only,0.6453816741405126,1.0,1,0.646112895821069,0.0
