scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,n_total_grid
B2_asymptotic_rate__seed0,B2.ASYMPTOTIC_RATE_CHECK,B,0,capopm_stage1_only,0.0,0.39049781595710376,2,0.3813702164266146,1.0,"50,100,200"
B2_asymptotic_rate__seed0,B2.ASYMPTOTIC_RATE_CHECK,B,0,capopm_stage1_only,0.39049781595710376,0.41035491082877246,1,0.3940754713012009,0.0,"50,100,200"
B2_asymptotic_rate__seed0,B2.ASYMPTOTIC_RATE_CHECK,B,0,capopm_stage1_only,0.41035491082877246,0.47512950156908285,2,0.43697531751428564,1.0,"50,100,200"
B2_asymptotic_rate__seed0,B2.ASYMPTOTIC_RATE_CHECK,B,0,capopm_stage1_only,0.47512950156908285,0.5421496987411518,1,0.5375440505737903,1.0,"50,100,200"
B2_asymptotic_rate__seed0,B2.ASYMPTOTIC_RATE_CHECK,B,0,capopm_stage1_only,0.5421496987411518,0.5588010278352618,1,0.5452201308527262,0.0,"50,100,200"
B2_asymptotic_rate__seed0,B2.ASYMPTOTIC_RATE_CHECK,B,0,capopm_stage1_only,0.5588010278352618,0.5841601045232091,2,0.5686050224253411,1.0,"50,100,200"
B2_asymptotic_rate__seed0,B2.ASYMPTOTIC_RATE_CHECK,B,0,capopm_stage1_only,0.5841601045232091,0.6011922504939371,1,0.5927867357848922,1.0,"50,100,200"
B2_asymptotic_rate__seed0,B2.ASYMPTOTIC_RATE_CHECK,B,0,capopm_stage1_only,0.6011922504939371,0.6086003295497889,2,0.6041034418918201,0.5,"50,100,200"
B2_asymptotic_rate__seed0,B2.ASYMPTOTIC_RATE_CHECK,B,0,capopm_stage1_only,0.6086003295497889,0.641154245780692,1,0.6233486292991766,0.0,"50,100,200"
B2_asymptotic_rate__seed0,B2.ASYMPTOTIC_RATE_CHECK,B,0,capopm_stage1_only,0.641154245780692,1.0,2,0.6666458509587327,1.0,"50,100,200"
