scenario_name,experiment_id,tier,seed,model,abs_error_outcome,brier,log_score,mae_prob,calibration_ece,calib_n_unique_predictions,calib_n_nonempty_bins,calib_degenerate_binning,calib_binning_mode_used,calib_binning_mode_requested,calib_fallback_applied,posterior_mean_bias,posterior_variance_ratio,mad_posterior_median,wasserstein_distance_beta,coverage_90_outcome,coverage_95_outcome,coverage_90_ptrue,coverage_95_ptrue,coverage_90,coverage_95,p_hat,abs_error_outcome_ci_high,abs_error_outcome_ci_low,abs_error_outcome_n,abs_error_outcome_var,brier_ci_high,brier_ci_low,brier_n,brier_var,coverage_90_ci_high,coverage_90_ci_low,coverage_90_n,coverage_90_ptrue_ci_high,coverage_90_ptrue_ci_low,coverage_90_ptrue_n,coverage_90_ptrue_var,coverage_90_var,coverage_95_ci_high,coverage_95_ci_low,coverage_95_n,coverage_95_ptrue_ci_high,coverage_95_ptrue_ci_low,coverage_95_ptrue_n,coverage_95_ptrue_var,coverage_95_var,coverage_outcome_90,coverage_outcome_95,log_score_ci_high,log_score_ci_low,log_score_n,log_score_var,mad_posterior_median_ci_high,mad_posterior_median_ci_low,mad_posterior_median_n,mad_posterior_median_var,mae_prob_ci_high,mae_prob_ci_low,mae_prob_n,mae_prob_var,p_hat_ci_high,p_hat_ci_low,p_hat_n,p_hat_var,posterior_mean_bias_ci_high,posterior_mean_bias_ci_low,posterior_mean_bias_n,posterior_mean_bias_var,posterior_variance_ratio_ci_high,posterior_variance_ratio_ci_low,posterior_variance_ratio_n,posterior_variance_ratio_var,regime_entropy,regime_entropy_ci_high,regime_entropy_ci_low,regime_entropy_n,regime_entropy_var,regime_max_weight,regime_max_weight_ci_high,regime_max_weight_ci_low,regime_max_weight_n,regime_max_weight_var,regret_abs_error,regret_abs_error_ci_high,regret_abs_error_ci_low,regret_abs_error_n,regret_abs_error_var,regret_brier,regret_brier_ci_high,regret_brier_ci_low,regret_brier_n,regret_brier_var,regret_log_bad,regret_log_bad_ci_high,regret_log_bad_ci_low,regret_log_bad_n,regret_log_bad_var,wasserstein_distance_beta_ci_high,wasserstein_distance_beta_ci_low,wasserstein_distance_beta_n,wasserstein_distance_beta_var,calibration_diagnostics,herding,liquidity_level,longshot_bias,timing_attack_strength
B1_correction_no_regret__longshot0__herd1__attack100__liqhigh__seed202647,B1.CORRECTION_NO_REGRET,B,202647,capopm,0.5132120652480767,0.06322487944724571,-0.7250665456474528,0.21664184921024077,0.22259022276961618,30,10,False,equal_mass,equal_width,True,-0.00401667590020515,1.5189432570486499,0.216224916037853,0.21904374046749184,,,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.16666666666666666,0.49776419288602447,0.5304366428759825,0.49485174653919667,30,0.0024060433145374873,0.08586316133977735,0.0413414451051757,30,0.004052288430956227,0.26666666666666666,0.03333333333333333,30,0.26666666666666666,0.03333333333333333,30,0.11555555555555558,0.11555555555555558,0.3,0.03333333333333333,30,0.3,0.03333333333333333,30,0.1388888888888889,0.1388888888888889,,,-0.6870822670883344,-0.7601837691155334,30,0.010349487836062621,0.2604965387613992,0.16987917086515805,30,0.01620214855269938,0.260725597300721,0.16882129137443797,30,0.01629118861801303,0.5162805848334322,0.47946886668425176,30,0.002575603149206017,0.08479257857125695,-0.09113079494762746,30,0.06320874576195844,1.6592432954699399,1.3971775194888136,30,0.12340456202739665,0.6931461004311513,0.6931468350609356,0.6931449617852574,30,8.149203535862793e-12,0.5004676619660933,0.500678158334805,0.5002843005022164,30,3.213551298070939e-07,-0.012481274028273131,0.006669825586114572,-0.030473542148863397,30,0.0024816250376277467,-0.0037860312680588017,0.0057354534500998165,-0.013439562354684383,30,0.0006962729521658009,-0.043280048902560216,-0.0007308100181262439,-0.08511776968713265,30,0.013207973243511136,0.26215572235977563,0.17324788574426658,30,0.01541210894105789,"{""n_unique_predictions"": 30, ""n_nonempty_bins"": 10, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",1,high,0,1.0
B1_correction_no_regret__longshot0__herd1__attack100__liqhigh__seed202647,B1.CORRECTION_NO_REGRET,B,202647,capopm_stage1_only,0.5132486673955856,0.06328280835053353,-0.7251206066098955,0.21673063136084678,0.22264053165436995,30,10,False,equal_mass,equal_width,True,-0.00394716550815347,1.5190325478028328,0.2163245844815126,0.21913765194327386,,,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.16666666666666666,0.49783370327807613,0.5303703645076564,0.49500024792214015,30,0.002397263742638105,0.08591993556898328,0.041399216584600315,30,0.00406029524751257,0.26666666666666666,0.03333333333333333,30,0.26666666666666666,0.03333333333333333,30,0.11555555555555558,0.11555555555555558,0.3,0.03333333333333333,30,0.3,0.03333333333333333,30,0.1388888888888889,0.1388888888888889,,,-0.6871788042334736,-0.7602358886362262,30,0.01030368973052176,0.26074774359024566,0.16993174899905497,30,0.01621580112525043,0.26090150679146146,0.1689063076931865,30,0.016310641780462286,0.5163049430289717,0.4794905346431547,30,0.002568098088909543,0.08489047807109283,-0.09109054016858413,30,0.06326722823498479,1.6595707966755957,1.3971105036715306,30,0.12360266253088971,,,,,,,,,,,-0.012444671880764006,0.0067882965643258335,-0.03041074962800605,30,0.0024884212927422894,-0.0037281023647709874,0.005780581565894268,-0.013363975373931187,30,0.0006961370341080165,-0.04322598794011762,-0.0005457784441158476,-0.08528327184007338,30,0.013259778043402498,0.26226532751855647,0.173412461074967,30,0.015428898379845036,"{""n_unique_predictions"": 30, ""n_nonempty_bins"": 10, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",1,high,0,1.0
B1_correction_no_regret__longshot0__herd1__attack100__liqhigh__seed202647,B1.CORRECTION_NO_REGRET,B,202647,uncorrected,0.5256933392763498,0.06701091071530453,-0.7683465945500132,0.2183472388451985,0.300519758299794,30,10,False,equal_mass,equal_width,True,0.0013421218924825691,1.0,0.2174946769326424,0.22076013822499793,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5031229906787122,0.5612150832476586,0.4879293652721574,30,0.009611628368584936,0.09417046828607958,0.04236088415080396,30,0.005664795295231119,0.3,0.03333333333333333,30,0.3,0.03333333333333333,30,0.1388888888888889,0.1388888888888889,0.3,0.03333333333333333,30,0.3,0.03333333333333333,30,0.1388888888888889,0.1388888888888889,,,-0.6880226004125741,-0.8440946116418709,30,0.04615171226109526,0.2638522561670882,0.16781659103279184,30,0.018607806590877508,0.26559893349627073,0.16768500892683566,30,0.019335394003982362,0.5400326862718721,0.46675874734047196,30,0.010262022980975226,0.09338060384373226,-0.0898171833264201,30,0.06700910942413024,1.0,1.0,30,0.0,,,,,,,,,,,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.2669857970500483,0.17197929300041898,30,0.018396880308721435,"{""n_unique_predictions"": 30, ""n_nonempty_bins"": 10, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",1,high,0,1.0
B1_correction_no_regret__longshot0__herd1__attack100__liqhigh__seed202647,B1.CORRECTION_NO_REGRET,B,202647,raw_parimutuel,0.5256541666666666,0.0671838548526973,-0.7687701901202453,0.2187537562524907,0.27640833333333337,23,10,False,equal_mass,equal_width,True,-0.004305868786229686,,,,,,,,,,0.497475,0.5617530729166665,0.4875446354166666,30,0.009824589513888891,0.09545852195691772,0.04210368362026186,30,0.0057810700559278744,,,,,,,,,,,,,,,,,,,-0.6868968158602899,-0.8463871568615673,30,0.047227885312908856,,,,,0.2668517998435711,0.1688888053020999,30,0.019330648978123203,0.53481140625,0.46075734375,30,0.01047635015625,0.08797033489075065,-0.09570495487599774,30,0.06716531434669308,,,,,,,,,,,,,,,-3.917260968303397e-05,0.002029264952387305,-0.00204223315627523,30,3.304488319945864e-05,0.00017294413739279128,0.0012084516749700325,-0.0009021327084164539,30,9.191815149891438e-06,0.00042359557023223434,0.005161967700466169,-0.004146067751514415,30,0.00016974482421926038,,,,,"{""n_unique_predictions"": 23, ""n_nonempty_bins"": 10, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",1,high,0,1.0
B1_correction_no_regret__longshot0__herd1__attack100__liqhigh__seed202647,B1.CORRECTION_NO_REGRET,B,202647,structural_only,0.526254166661111,0.06730327128319212,-0.7705532470163095,0.2184620895913796,0.20207916667222223,23,5,False,equal_width,equal_width,False,0.0007816311304370919,1.017979945110785,0.21785761150283342,0.22100609801419838,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5025624999166668,0.5625012500052778,0.4876966666613889,30,0.01000634763875352,0.09454023159571898,0.04236988304473188,30,0.005773698335911983,0.3,0.03333333333333333,30,0.3,0.03333333333333333,30,0.1388888888888889,0.1388888888888889,0.3,0.03333333333333333,30,0.3,0.03333333333333333,30,0.1388888888888889,0.1388888888888889,,,-0.6883758580718403,-0.8479259009381555,30,0.04831242808599962,0.26553986004021657,0.1677489891058731,30,0.019177849994671033,0.26604886092275737,0.1678660792177198,30,0.019577586694560178,0.5402760415833335,0.46547395825000004,30,0.010689062499999997,0.09326918897408407,-0.09091073620933093,30,0.06730266033596806,1.0187444567124093,1.017170572700276,30,4.806350942261587e-06,,,,,,,,,,,0.0005608273847614142,0.001285477105582636,-0.00023516169317001534,30,4.391650747158509e-06,0.0002923605678876,0.0007051944522350291,-0.0001168482732954765,30,1.3255786531379387e-06,0.0022066524662963326,0.004008528262463993,0.0003292558275107762,30,2.708058893656453e-05,0.2671971665241421,0.17233932071454336,30,0.018585576403719117,"{""n_unique_predictions"": 23, ""n_nonempty_bins"": 5, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_width"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": false}",1,high,0,1.0
B1_correction_no_regret__longshot0__herd1__attack100__liqhigh__seed202647,B1.CORRECTION_NO_REGRET,B,202647,ml_only,0.5274652177119604,0.06793171843804524,-0.7755125390993824,0.21859177773946534,0.20364686094200884,30,6,False,equal_width,equal_width,False,0.0014720834109016108,1.0583212556927488,0.2186270525750046,0.22149558870077443,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5032529521971313,0.5652823365927339,0.4872074503275717,30,0.010917480914456502,0.09557672158587603,0.04244431199123702,30,0.005995864284291865,0.3,0.03333333333333333,30,0.3,0.03333333333333333,30,0.1388888888888889,0.1388888888888889,0.3,0.03333333333333333,30,0.3,0.03333333333333333,30,0.1388888888888889,0.1388888888888889,,,-0.6890315905457213,-0.8568441374995779,30,0.0534057826578243,0.26595166560508243,0.1675414396083438,30,0.01928652192347547,0.26723480256252935,0.1678875496284206,30,0.020149353142745425,0.5426129169485903,0.46450857377223864,30,0.01166123740042506,0.09339416899481497,-0.09145167824062413,30,0.06792955140847659,1.060822742971408,1.0557910336675225,30,5.0214541952163265e-05,,,,,,,,,,,0.0017718784356106484,0.0041053470149371414,-0.0007213711845741851,30,4.1616053623312146e-05,0.000920807722740713,0.002206179740261896,-0.0003030898865680261,30,1.2057748890317289e-05,0.007165944549369296,0.012835441573900054,0.0011821831532008746,30,0.00026786249200494346,0.2686651299809388,0.17281236355393698,30,0.019011058768446585,"{""n_unique_predictions"": 30, ""n_nonempty_bins"": 6, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_width"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": false}",1,high,0,1.0
