scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,arrivals_per_step,initial_pool,n_steps
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.0,0.41475409836065574,3,0.36885245901639346,0.6666666666666666,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.41475409836065574,0.44754098360655736,3,0.4262295081967213,0.0,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.44754098360655736,0.4975409836065574,3,0.46994535519125685,0.3333333333333333,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.4975409836065574,0.5540983606557377,3,0.5191256830601093,1.0,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.5540983606557377,0.5778688524590163,3,0.5655737704918032,0.6666666666666666,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.5778688524590163,0.5901639344262295,2,0.5819672131147541,0.5,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.5901639344262295,0.5901639344262295,0,0.0,0.0,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.5901639344262295,0.6,7,0.5925058548009368,0.7142857142857143,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.6,0.6237704918032787,3,0.6174863387978142,0.3333333333333333,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.6237704918032787,1.0,3,0.6448087431693988,1.0,3,1.0,40
