scenario_name,experiment_id,tier,seed,model,abs_error_outcome,brier,log_score,mae_prob,calibration_ece,calib_n_unique_predictions,calib_n_nonempty_bins,calib_degenerate_binning,calib_binning_mode_used,calib_binning_mode_requested,calib_fallback_applied,posterior_mean_bias,posterior_variance_ratio,mad_posterior_median,wasserstein_distance_beta,coverage_90_outcome,coverage_95_outcome,coverage_90_ptrue,coverage_95_ptrue,coverage_90,coverage_95,p_hat,abs_error_outcome_ci_high,abs_error_outcome_ci_low,abs_error_outcome_n,abs_error_outcome_var,brier_ci_high,brier_ci_low,brier_n,brier_var,coverage_90_ci_high,coverage_90_ci_low,coverage_90_n,coverage_90_ptrue_ci_high,coverage_90_ptrue_ci_low,coverage_90_ptrue_n,coverage_90_ptrue_var,coverage_90_var,coverage_95_ci_high,coverage_95_ci_low,coverage_95_n,coverage_95_ptrue_ci_high,coverage_95_ptrue_ci_low,coverage_95_ptrue_n,coverage_95_ptrue_var,coverage_95_var,coverage_outcome_90,coverage_outcome_95,log_score_ci_high,log_score_ci_low,log_score_n,log_score_var,mad_posterior_median_ci_high,mad_posterior_median_ci_low,mad_posterior_median_n,mad_posterior_median_var,mae_prob_ci_high,mae_prob_ci_low,mae_prob_n,mae_prob_var,p_hat_ci_high,p_hat_ci_low,p_hat_n,p_hat_var,posterior_mean_bias_ci_high,posterior_mean_bias_ci_low,posterior_mean_bias_n,posterior_mean_bias_var,posterior_variance_ratio_ci_high,posterior_variance_ratio_ci_low,posterior_variance_ratio_n,posterior_variance_ratio_var,time_to_eps_0.05,time_to_eps_0.05_ci_high,time_to_eps_0.05_ci_low,time_to_eps_0.05_n,time_to_eps_0.05_var,time_to_eps_0.10,time_to_eps_0.10_ci_high,time_to_eps_0.10_ci_low,time_to_eps_0.10_n,time_to_eps_0.10_var,var_decay_slope,var_decay_slope_ci_high,var_decay_slope_ci_low,var_decay_slope_n,var_decay_slope_var,wasserstein_distance_beta_ci_high,wasserstein_distance_beta_ci_low,wasserstein_distance_beta_n,wasserstein_distance_beta_var,calibration_diagnostics,arrivals_per_step,initial_pool,n_steps
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,capopm,0.4733475116164083,0.04646695014390996,-0.6544592539203644,0.17776069340426212,0.2838728916183122,30,10,False,equal_mass,equal_width,True,0.007615172422312264,1.000031083707414,0.178324792784677,0.17989574827929505,,,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5358346841592367,0.5022437671617039,0.44507949560733606,30,0.006783813040907613,0.07122673709504947,0.027620089586677138,30,0.003600513349463984,0.43333333333333335,0.1,30,0.43333333333333335,0.1,30,0.19555555555555557,0.19555555555555557,0.5,0.16666666666666666,30,0.5,0.16666666666666666,30,0.2222222222222222,0.2222222222222222,,,-0.598021804145742,-0.7119536950715276,30,0.027589262380612982,0.22507488159621358,0.13811587859242508,30,0.014572590351660525,0.22608716575008575,0.13782781215704112,30,0.01486808602434589,0.5618942905873653,0.5055517571346764,30,0.006210043589152859,0.08509038705035862,-0.07340977884643245,30,0.046408959292888415,1.0001096046707614,0.9999626241206061,30,4.259556474543433e-08,3.75,,,24,34.104166666666664,1.6785714285714286,,,28,2.218112244897959,-0.0002198761549320314,-0.00021818362634698615,-0.00022145392540022526,30,2.2274703155613157e-11,0.22714474277177887,0.14101975768929093,30,0.014267640369464853,"{""n_unique_predictions"": 30, ""n_nonempty_bins"": 10, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,raw_parimutuel,0.47232786885245903,0.04656914647069437,-0.6541383178933532,0.17730293008353434,0.24365573770491808,23,9,False,equal_mass,equal_width,True,0.004649340722092014,,,,,,,,,,0.5328688524590163,0.5026265710382514,0.4429558743169399,30,0.007568273582370328,0.0719587843472394,0.027126894927583526,30,0.003812892392546687,,,,,,,,,,,,,,,,,,,-0.5948090946597915,-0.7158564327659769,30,0.031108866861773568,,,,,0.22649147314772577,0.13693206992791102,30,0.015132817454487713,0.561006762295082,0.5001393442622951,30,0.007253658962644451,0.08200725490517151,-0.07536391445772293,30,0.0465475301015443,,,,,3.0,,,25,10.8,2.3666666666666667,3.4,1.6333333333333333,30,6.165555555555554,,,,,,,,,,"{""n_unique_predictions"": 23, ""n_nonempty_bins"": 9, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,structural_only,0.4728051282256409,0.04649049013142972,-0.6540024003834847,0.17755639792716618,0.24356923079658122,23,9,False,equal_mass,equal_width,True,0.007754847134870653,1.0230904056903496,0.17815002524542353,0.1797434315102476,,,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5359743588717951,0.502302692314359,0.4440355128671794,30,0.007072673655800775,0.07133664872682277,0.0274174345243755,30,0.003667376789865033,0.43333333333333335,0.1,30,0.43333333333333335,0.1,30,0.19555555555555557,0.19555555555555557,0.5,0.16666666666666666,30,0.5,0.16666666666666666,30,0.2222222222222222,0.2222222222222222,,,-0.5967907022795909,-0.7124918776779705,30,0.028822268915117574,0.2252046486469091,0.1378424646297619,30,0.014634306024801163,0.22632262366099049,0.13787276352476832,30,0.01496421568655954,0.562647435794872,0.504948717846154,30,0.006518080210387901,0.0857565736553086,-0.0730592960230864,30,0.046430352477344505,1.0235123273285103,1.0226519801673244,30,1.4982178160369933e-06,3.7083333333333335,,,24,31.78993055555556,1.8214285714285714,,,28,2.9323979591836737,-0.0002579360934904874,-0.000255499080003367,-0.00026017917539171415,30,4.572829095546832e-11,0.22768848039850334,0.14058518544125811,30,0.014353432082617072,"{""n_unique_predictions"": 23, ""n_nonempty_bins"": 9, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,ml_only,0.4711610183119702,0.04664018025456317,-0.6525268622010967,0.17727572647353804,0.2825988898195374,30,10,False,equal_mass,equal_width,True,0.01041730133083566,1.0748715017245347,0.17780253565789333,0.17969979492936697,,,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.53863681306776,0.5022897525085196,0.4407079670240437,30,0.0079140253733876,0.07209841944251864,0.027327302117216196,30,0.0038177988502435156,0.43333333333333335,0.1,30,0.43333333333333335,0.1,30,0.1955555555555555,0.1955555555555555,0.5,0.16666666666666666,30,0.5,0.16666666666666666,30,0.2222222222222222,0.2222222222222222,,,-0.591471842191924,-0.714805222311374,30,0.032337559054082914,0.22650339581504933,0.1380762170864394,30,0.014830440754517539,0.22720464281153732,0.13669309174945016,30,0.015213497057842498,0.5667783849472481,0.5059185347638613,30,0.007252908914157087,0.087754217186514,-0.06958254598890222,30,0.046531660087545744,1.0764301458523213,1.0733068068402682,30,1.9661975044926056e-05,5.076923076923077,,,26,71.37869822485206,2.1,3.034166666666666,1.4,30,5.49,-0.00039545931961693385,-0.000385360290107805,-0.00040521757992003444,30,8.050437554746995e-10,0.22863841486156303,0.14031968039908688,30,0.0145383729115403,"{""n_unique_predictions"": 30, ""n_nonempty_bins"": 10, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,uncorrected,0.47335539590606845,0.04650071313538298,-0.6544930168253615,0.17775079418445439,0.23375207898632805,30,10,False,equal_mass,equal_width,True,0.0076116741012519735,1.0,0.17831812549078235,0.17988118516921764,,,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5358311858381765,0.5022461331826755,0.4450209900606764,30,0.006791855404009222,0.07137401137916123,0.027602928164338174,30,0.003617119924802606,0.43333333333333335,0.1,30,0.43333333333333335,0.1,30,0.19555555555555557,0.19555555555555557,0.5,0.16666666666666666,30,0.5,0.16666666666666666,30,0.2222222222222222,0.2222222222222222,,,-0.5982458036301291,-0.7120738581977232,30,0.027630875430845605,0.2252377552434078,0.13809544648129884,30,0.014607783867633428,0.22603347947605879,0.13776781264063856,30,0.014905368302178708,0.56193531897502,0.5055435561712134,30,0.006217916452761644,0.08518763633724084,-0.07347036563320597,30,0.046442775552759316,1.0,1.0,30,0.0,3.75,,,24,34.104166666666664,1.6428571428571428,,,28,2.015306122448979,-0.00021993924582759108,-0.00021824906675404403,-0.00022151719323553547,30,2.1589429634563164e-11,0.22722387182086495,0.1409546995137482,30,0.01430699751825371,"{""n_unique_predictions"": 30, ""n_nonempty_bins"": 10, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_1_1,0.4710382513661202,0.04667545858399776,-0.6525235742772267,0.17725374975566552,0.24207650273224046,23,9,False,equal_mass,equal_width,True,0.010031854383294209,1.0848156119150185,0.17789699333325742,0.17969804983417206,,,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5382513661202186,0.5024590163934425,0.44040300546448075,30,0.008025321747439456,0.07230945342883313,0.027200470449251942,30,0.0038512787894497006,0.43333333333333335,0.1,30,0.43333333333333335,0.1,30,0.1955555555555555,0.1955555555555555,0.5,0.16666666666666666,30,0.5,0.16666666666666666,30,0.2222222222222222,0.2222222222222222,,,-0.5915340878473391,-0.7148953927521272,30,0.032837103131475164,0.22682452796803898,0.13833160189304122,30,0.014836763878303025,0.22709705914037653,0.13637998623252484,30,0.015256566781553673,0.5666734972677594,0.5051912568306011,30,0.007400937621308489,0.0870390608281365,-0.0699445774861812,30,0.04657482048163015,1.0865072351797598,1.0830556377573273,30,2.4362852482648954e-05,4.846153846153846,,,26,64.1301775147929,2.4,3.4674999999999994,1.6333333333333333,30,6.373333333333334,-0.00043402044312344844,-0.00041934673923920123,-0.00044848291436163734,30,1.7354108275650864e-09,0.22858911256714268,0.1401080037131789,30,0.014576678287585748,"{""n_unique_predictions"": 23, ""n_nonempty_bins"": 9, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.47079889807162534,0.04670557237505255,-0.6523324564135561,0.17721310485660038,0.24187327823691462,23,9,False,equal_mass,equal_width,True,0.01034798137602329,1.0930282777134992,0.1778629819861312,0.17970128539942626,,,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5385674931129477,0.5024793388429751,0.4399104683195592,30,0.00815851983395184,0.07247726567746518,0.027166938986347613,30,0.003876973086228085,0.43333333333333335,0.1,30,0.43333333333333335,0.1,30,0.1955555555555555,0.1955555555555555,0.5,0.16666666666666666,30,0.5,0.16666666666666666,30,0.2222222222222222,0.2222222222222222,,,-0.5908262811546255,-0.7152345429305524,30,0.03340085445288472,0.227071861592464,0.13805908332497144,30,0.014868435113317039,0.22716378793280056,0.13610811701877784,30,0.015301087842136112,0.5672245179063362,0.5052341597796144,30,0.007523772662765901,0.08733045068796616,-0.06959909584412727,30,0.04659849165649401,1.094925240944009,1.0910775455454893,30,3.0184370028492792e-05,4.884615384615385,,,26,64.17899408284022,2.466666666666667,3.5008333333333326,1.7,30,6.248888888888887,-0.00046544010115576407,-0.00044247418749939794,-0.0004888193417339774,30,4.485870327371287e-09,0.22866582301420157,0.13993769514517987,30,0.014608582947733973,"{""n_unique_predictions"": 23, ""n_nonempty_bins"": 9, ""degenerate_binning"": false, ""binning_mode_used"": ""equal_mass"", ""binning_mode_requested"": ""equal_width"", ""fallback_applied"": true}",3,1.0,40
