scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,arrivals_per_step,initial_pool,n_steps
A2_time_to_converge__arr1__seed240001__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240001,ml_only,0.0,0.3863338316760602,3,0.3628601891291015,0.3333333333333333,1,1.0,40
A2_time_to_converge__arr1__seed240001__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240001,ml_only,0.3863338316760602,0.4103570685833847,3,0.40179548611700117,0.6666666666666666,1,1.0,40
A2_time_to_converge__arr1__seed240001__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240001,ml_only,0.4103570685833847,0.4485586161090097,3,0.42535196317899443,0.3333333333333333,1,1.0,40
A2_time_to_converge__arr1__seed240001__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240001,ml_only,0.4485586161090097,0.46901559350252453,3,0.45566742269748534,0.3333333333333333,1,1.0,40
A2_time_to_converge__arr1__seed240001__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240001,ml_only,0.46901559350252453,0.5248333920720345,3,0.493860417365869,0.3333333333333333,1,1.0,40
A2_time_to_converge__arr1__seed240001__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240001,ml_only,0.5248333920720345,0.5482803868695715,3,0.5331118803724822,1.0,1,1.0,40
A2_time_to_converge__arr1__seed240001__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240001,ml_only,0.5482803868695715,0.5944142540284972,3,0.5716234077663321,0.6666666666666666,1,1.0,40
A2_time_to_converge__arr1__seed240001__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240001,ml_only,0.5944142540284972,0.6003087085742778,3,0.5951641780504467,0.6666666666666666,1,1.0,40
A2_time_to_converge__arr1__seed240001__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240001,ml_only,0.6003087085742778,0.6421930969698095,3,0.6261092926592844,0.3333333333333333,1,1.0,40
A2_time_to_converge__arr1__seed240001__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240001,ml_only,0.6421930969698095,1.0,3,0.6493149611923267,0.6666666666666666,1,1.0,40
